,Year,Brand,Model,Cost,City,State,Mileage,Accident,Body,Engine,Owners,Usefor,Services
0,2018,Infiniti,Q50_Luxe, 28595, Bayside, NY ,25202,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
1,2019,Infiniti,QX50_Essential, 38995, Garwood, NJ ,16223,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
2,2019,Infiniti,QX50_Essential, 35988, Bronx, NY ,21757,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
3,2018,Infiniti,Q60_Luxe, 31999, Lynbrook, NY ,17879,No Accident or Damage Reported,Coupe,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
4,2020,Infiniti,QX50_Essential, 39999, Lynbrook, NY ,4907,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,4
5,2018,Infiniti,QX30_Sport, 26880, Lynbrook, NY ,10825,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,15
6,2018,Infiniti,Q50, 29704, Fairfield, CT ,21182,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,9
7,2020,Infiniti,QX50_Sensory, 43000, Edison, NJ ,17734,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
8,2018,Infiniti,Q50_Luxe, 28877, West Long Branch, NJ ,34595,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,16
9,2018,Infiniti,Q50, 27878, West Long Branch, NJ ,35472,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
10,2018,Infiniti,Q70_Luxe, 32344, Brooklyn, NY ,19549,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,6
11,2018,Infiniti,QX60_Base, 34878, West Long Branch, NJ ,15430,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
12,2019,Infiniti,Q50_Luxe, 28995, Cranbury, NJ ,26519,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
13,2018,Infiniti,Q50_Luxe, 26888, Ramsey, NJ ,46660,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,12
14,2018,Infiniti,QX60_Base, 31202, Fairfield, CT ,47846,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
15,2019,Infiniti,QX60_Luxe, 38996, Edison, NJ ,31922,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
16,2018,Infiniti,QX60_Base, 30495, Yonkers, NY ,30773,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,14
17,2017,Infiniti,QX80, 44995, Massapequa, NY ,44469,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,3
18,2018,Infiniti,Q50_Luxe, 28900, Rahway, NJ ,8104,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
19,2017,Infiniti,QX80, 43900, West Long Branch, NJ ,35295,No Accident or Damage Reported,SUV,Blue_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,3
20,2018,Infiniti,Q50_Luxe, 24900, Brooklyn, NY ,42406,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,4
21,2018,Infiniti,Q50_Luxe, 27299, Staten Island, NY ,17102,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
22,2019,Infiniti,QX50_Essential, 35900, West Long Branch, NJ ,35408,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
23,2018,Infiniti,Q50_Luxe, 29930, Flemington, NJ ,37127,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
24,2018,Infiniti,QX60_Base, 32490, Flemington, NJ ,37314,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,4
25,2019,Infiniti,QX60_Luxe, 38950, Flemington, NJ ,33178,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
26,2018,Infiniti,Q60_Luxe, 36267, Flemington, NJ ,24319,No Accident or Damage Reported,Coupe,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,9
27,2018,Infiniti,Q50_Luxe, 26527, Ramsey, NJ ,43338,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
28,2019,Infiniti,QX50_Essential, 34478, West Long Branch, NJ ,52029,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,11
29,2018,Infiniti,Q50_Luxe, 29778, West Long Branch, NJ ,21124,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
30,2017,Infiniti,QX80, 43578, West Long Branch, NJ ,43593,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,5
31,2019,Infiniti,QX60_Luxe, 40995, Bridgewater, NJ ,30654,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
32,2018,Infiniti,Q60_Sport, 34991, Little Falls, NJ ,31471,No Accident or Damage Reported,Coupe,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,20
33,2019,Infiniti,Q50_Sport, 34995, Edison, NJ ,10448,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
34,2020,Infiniti,QX60, 39131, Fairfield, CT ,13573,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Corporate Use,3
35,2018,Infiniti,QX60_Base, 32889, Ramsey, NJ ,35525,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
36,2018,Infiniti,QX60_Base, 31488, Ramsey, NJ ,48541,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,12
37,2017,Infiniti,QX50_Base, 26885, Ramsey, NJ ,23276,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,10
38,2018,Infiniti,Q50_Luxe, 29995, Bridgewater, NJ ,29021,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
39,2018,Infiniti,QX60_Base, 32488, Ramsey, NJ ,24173,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,9
40,2018,Infiniti,QX30_Premium, 25498, Great Neck, NY ,21421,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
41,2018,Infiniti,Q50_Luxe, 29878, West Long Branch, NJ ,18322,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
42,2019,Infiniti,Q50_Luxe, 25995, Jamaica, NY ,28777,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
43,2018,Infiniti,QX60_Base, 31988, Eatontown, NJ ,55381,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,11
44,2018,Infiniti,Q50_Luxe, 28877, West Long Branch, NJ ,27262,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
45,2018,Infiniti,Q50_Luxe, 28877, West Long Branch, NJ ,37606,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
46,2019,Infiniti,QX50_Pure, 33778, West Long Branch, NJ ,50321,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
47,2018,Infiniti,Q50, 28887, West Long Branch, NJ ,31487,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
48,2018,Infiniti,Q50_Luxe, 27999, Lynbrook, NY ,31766,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
49,2018,Infiniti,QX60_Base, 37995, Edison, NJ ,21605,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
50,2018,Infiniti,Q50_Luxe, 28288, Ramsey, NJ ,29155,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
51,2018,Infiniti,Q50_Luxe, 27588, Ramsey, NJ ,34992,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
52,2017,Infiniti,QX50_Base, 29489, Fairfield, CT ,9672,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,5
53,2018,Infiniti,QX30_Essential, 26988, Ramsey, NJ ,29679,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,6
54,2019,Infiniti,QX60_Luxe, 35290, Tinton Falls, NJ ,27426,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,7
55,2017,Infiniti,QX50_Base, 25995, Denville, NJ ,20597,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,5
56,2018,Infiniti,Q50_Red_Sport_400, 41473, Fairfield, CT ,12390,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
57,2017,Infiniti,QX50_Base, 23495, Hackensack, NJ ,32351,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,11
58,2018,Infiniti,Q50_Luxe, 31995, Massapequa, NY ,19931,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,11
59,2019,Infiniti,QX60_Luxe, 39995, Massapequa, NY ,22051,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
60,2019,Infiniti,QX60_Luxe, 35466, Westbury, NY ,23028,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
61,2018,Infiniti,QX30_Premium, 24985, Yonkers, NY ,14865,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
62,2019,Infiniti,QX60_Luxe, 41995, Bridgewater, NJ ,33983,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
63,2019,Infiniti,QX60_Luxe, 41495, Bridgewater, NJ ,26622,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
64,2018,Infiniti,QX60_Base, 37995, Bridgewater, NJ ,26098,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
65,2018,Infiniti,QX60_Base, 36995, Bridgewater, NJ ,35244,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,8
66,2018,Infiniti,QX60_Base, 38995, Bridgewater, NJ ,25275,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
67,2019,Infiniti,QX80_Luxe, 60995, Edison, NJ ,25354,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,9
68,2019,Infiniti,QX50_Essential, 38307, Flemington, NJ ,33036,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,9
69,2019,Infiniti,QX60_Luxe, 39951, Flemington, NJ ,28378,No Accident or Damage Reported,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,6
70,2018,Infiniti,Q50_Luxe, 30966, Flemington, NJ ,34757,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
71,2017,Infiniti,QX50_Base, 24998, Floral Park, NY ,31621,No Accident or Damage Reported,SUV,Burgundy_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,3
72,2019,Infiniti,QX60_Luxe, 37490, Green Brook, NJ ,27678,No Accident or Damage Reported,SUV,Silver_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
73,2018,Infiniti,QX60_Base, 31995, Jamaica, NY ,28081,No Accident or Damage Reported,SUV,Black_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
74,2018,Infiniti,Q50_Luxe, 28188, Ramsey, NJ ,35346,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,4
75,2018,Infiniti,QX80_Base, 48488, Ramsey, NJ ,36536,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,4
76,2020,Infiniti,QX50_Essential, 39900, Rahway, NJ ,11340,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,2
77,2018,Infiniti,Q50_Luxe, 28688, Ramsey, NJ ,28481,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
78,2019,Infiniti,QX50_Essential, 31580, Yonkers, NY ,36226,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,5
79,2019,Infiniti,QX50_Essential, 33999, Newark, NJ,38528,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,14
80,2019,Infiniti,QX50_Luxe, 34900, Wilton, CT ,8607,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,3
81,2018,Infiniti,Q50_Luxe, 28888, Lynbrook, NY ,23027,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
82,2016,Infiniti,Q50_Premium, 18995, Point Pleasant Boro, NJ ,81942,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,16
83,2018,Infiniti,Q50_Sport, 33769, Flemington, NJ ,10194,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,2
84,2018,Infiniti,Q70_Luxe, 33488, Ramsey, NJ ,36842,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,11
85,2018,Infiniti,Q50_Luxe, 25900, Bloomfield, NJ ,42763,No Accident or Damage Reported,Sedan,Brown_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,11
86,2019,Infiniti,QX50_Essential, 32990, Bronx, NY ,36250,No Accident or Damage Reported,SUV,Blue_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
87,2018,Infiniti,Q70_Luxe, 31490, Bronx, NY ,30549,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,12
88,2019,Infiniti,Q50_Luxe, 26561, Westbury, NY ,34770,No Accident or Damage Reported,Sedan,Gray_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,7
89,2018,Infiniti,Q50_Luxe, 26994, Westbury, NY ,30511,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
90,2020,Infiniti,QX50, 44848, Fairfield, CT ,12241,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Corporate Use,2
91,2018,Infiniti,Q50, 31262, Fairfield, CT ,26738,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,5
92,2014,Infiniti,QX80_Base, 25400, Eatontown, NJ ,121504,No Accident or Damage Reported,SUV,Gray_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,20
93,2019,Infiniti,QX50_Essential, 38665, Edison, NJ ,36161,No Accident or Damage Reported,SUV,Black_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
94,2019,Infiniti,QX50_Essential, 40669, Edison, NJ ,19306,No Accident or Damage Reported,SUV,White_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,8
95,2018,Infiniti,Q50_Luxe, 32995, Edison, NJ ,11083,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
96,2018,Infiniti,Q60_Luxe, 35877, West Long Branch, NJ ,29749,No Accident or Damage Reported,Coupe,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
97,2019,Infiniti,QX50_Essential, 33990, East Hanover, NJ ,45705,No Accident or Damage Reported,SUV,Silver_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
98,2018,Infiniti,Q50_Red_Sport_400, 33650, Massapequa Park, NY ,33485,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,1
99,2019,Infiniti,Q50_Luxe, 25995, Hempstead, NY ,45323,No Accident or Damage Reported,Sedan,Silver_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,12
100,2018,Infiniti,QX30_Luxury, 23700, North Plainfield, NJ ,27032,No Accident or Damage Reported,SUV,Gray_Engine:_4_Cyl_2.0_L_,CARFAX 1-Owner,Personal Use,7
101,2018,Infiniti,QX60_Base, 28995, Roslyn Heights, NY ,17709,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,3
102,2017,Infiniti,QX80, 43995, Massapequa, NY ,43189,No Accident or Damage Reported,SUV,Black_Engine:_8_Cyl_5.6_L_,CARFAX 1-Owner,Personal Use,15
103,2019,Infiniti,QX60_Luxe, 36999, Lynbrook, NY ,22066,No Accident or Damage Reported,SUV,Gray_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,2
104,2018,Infiniti,Q50_Sport, 29588, Ramsey, NJ ,38007,No Accident or Damage Reported,Sedan,Blue_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,11
105,2017,Infiniti,Q50_Sport, 24399, Elizabeth, NJ ,43605,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,2-Owner,Personal Use,5
106,2018,Infiniti,QX60_Base, 32009, Blauvelt, NY ,23959,No Accident or Damage Reported,SUV,Blue_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,5
107,2017,Infiniti,QX50_Base, 25188, Lakewood, NJ ,26872,No Accident or Damage Reported,SUV,Burgundy_Engine:_6_Cyl_3.7_L_,2-Owner,Personal Use,16
108,2017,Infiniti,Q50_Premium, 22450, Forest Hills, NY ,56586,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,3+ Owners,Personal Use,16
109,2016,Infiniti,QX50_Base, 20894, North Brunswick, NJ ,79700,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.7_L_,CARFAX 1-Owner,Personal Use,14
110,2018,Infiniti,Q50_Sport, 28978, West Long Branch, NJ ,43539,Accident/Minor Damage,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,6
111,2019,Infiniti,QX60_Luxe, 31894, Princeton, NJ ,46817,Accident/Minor Damage,SUV,Red_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,10
112,2010,Infiniti,M35_Base, 8377, Lodi, NJ ,144976,Accident Reported,Sedan,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,13
113,2018,Infiniti,Q50_Luxe, 29888, Ramsey, NJ ,17326,No Accident or Damage Reported,Sedan,White_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,8
114,2018,Infiniti,Q50_Sport, 28990, Valley Stream, NY ,31333,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,9
115,2015,Infiniti,QX60_Base, 13495, Brooklyn, NY ,162713,No Accident or Damage Reported,SUV,White_Engine:_6_Cyl_3.5_L_,CARFAX 1-Owner,Personal Use,15
116,2018,Infiniti,Q50_Luxe, 23769, Lynbrook, NY ,22694,No Accident or Damage Reported,Sedan,Black_Engine:_6_Cyl_3.0_L_,CARFAX 1-Owner,Personal Use,3
